127.0.0.1 - - [09/Mar/2017:09:48:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:35 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:07:38 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:11 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:46 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:12:47 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:01 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:09 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:13:16 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:25 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:16:26 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/contactus HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/css/ContactUs.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:05 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14845
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:18:08 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:50 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:23:51 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 15321
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:10 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:18 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 15323
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:18 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:18 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:18 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:18 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:19 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 15372
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [09/Mar/2017:12:25:51 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
